dbFile,gloveFile,vocabSize,captureFraction,convolutionFilters,convolutionKernel,convolutionActivation,poolSize,flattenLayer,denseUnits,denseActivation,dropoutFraction,outputActivation,lossFunction
./data/articles_zenodo.db,./data/glove.6B.50d.txt,250,0.05,10,5,relu,5,True,50,relu,0,softmax,categorical_crossentropy
./data/articles_zenodo.db,./data/glove.6B.50d.txt,250,0.05,50,5,relu,5,True,50,relu,0,softmax,categorical_crossentropy
./data/articles_zenodo.db,./data/glove.6B.50d.txt,250,0.95,10,5,relu,5,True,50,relu,0,softmax,categorical_crossentropy
./data/articles_zenodo.db,./data/glove.6B.50d.txt,250,0.95,50,5,relu,5,True,50,relu,0,softmax,categorical_crossentropy
./data/articles_zenodo.db,./data/glove.6B.50d.txt,25000,0.05,10,5,relu,5,True,50,relu,0,softmax,categorical_crossentropy
./data/articles_zenodo.db,./data/glove.6B.50d.txt,25000,0.05,50,5,relu,5,True,50,relu,0,softmax,categorical_crossentropy
./data/articles_zenodo.db,./data/glove.6B.50d.txt,25000,0.95,10,5,relu,5,True,50,relu,0,softmax,categorical_crossentropy
./data/articles_zenodo.db,./data/glove.6B.50d.txt,25000,0.95,50,5,relu,5,True,50,relu,0,softmax,categorical_crossentropy
