id,dbFile,gloveFile,vocabSize,captureFraction,convolutionFilters,convolutionKernel,convolutionActivation,poolSize,flattenLayer,denseUnits,denseActivation,dropoutFraction,outputActivation,lossFunction
1999,./data/articles_zenodo.db,./data/glove.6B.50d.txt,25000,0.95,10,15,relu,2,True,50,relu,0.75,softmax,categorical_crossentropy
2000,./data/articles_zenodo.db,./data/glove.6B.50d.txt,25000,0.95,10,15,relu,5,True,10,relu,0.0,softmax,categorical_crossentropy
2001,./data/articles_zenodo.db,./data/glove.6B.50d.txt,25000,0.95,10,15,relu,5,True,10,relu,0.25,softmax,categorical_crossentropy
2002,./data/articles_zenodo.db,./data/glove.6B.50d.txt,25000,0.95,10,15,relu,5,True,10,relu,0.5,softmax,categorical_crossentropy
2003,./data/articles_zenodo.db,./data/glove.6B.50d.txt,25000,0.95,10,15,relu,5,True,10,relu,0.75,softmax,categorical_crossentropy
2004,./data/articles_zenodo.db,./data/glove.6B.50d.txt,25000,0.95,10,15,relu,5,True,50,relu,0.0,softmax,categorical_crossentropy
2005,./data/articles_zenodo.db,./data/glove.6B.50d.txt,25000,0.95,10,15,relu,5,True,50,relu,0.25,softmax,categorical_crossentropy
2006,./data/articles_zenodo.db,./data/glove.6B.50d.txt,25000,0.95,10,15,relu,5,True,50,relu,0.5,softmax,categorical_crossentropy
2007,./data/articles_zenodo.db,./data/glove.6B.50d.txt,25000,0.95,10,15,relu,5,True,50,relu,0.75,softmax,categorical_crossentropy
2008,./data/articles_zenodo.db,./data/glove.6B.50d.txt,25000,0.95,10,15,relu,10,True,10,relu,0.0,softmax,categorical_crossentropy
2009,./data/articles_zenodo.db,./data/glove.6B.50d.txt,25000,0.95,10,15,relu,10,True,10,relu,0.25,softmax,categorical_crossentropy
2010,./data/articles_zenodo.db,./data/glove.6B.50d.txt,25000,0.95,10,15,relu,10,True,10,relu,0.5,softmax,categorical_crossentropy
2011,./data/articles_zenodo.db,./data/glove.6B.50d.txt,25000,0.95,10,15,relu,10,True,10,relu,0.75,softmax,categorical_crossentropy
2012,./data/articles_zenodo.db,./data/glove.6B.50d.txt,25000,0.95,10,15,relu,10,True,50,relu,0.0,softmax,categorical_crossentropy
2013,./data/articles_zenodo.db,./data/glove.6B.50d.txt,25000,0.95,10,15,relu,10,True,50,relu,0.25,softmax,categorical_crossentropy
2014,./data/articles_zenodo.db,./data/glove.6B.50d.txt,25000,0.95,10,15,relu,10,True,50,relu,0.5,softmax,categorical_crossentropy
2015,./data/articles_zenodo.db,./data/glove.6B.50d.txt,25000,0.95,10,15,relu,10,True,50,relu,0.75,softmax,categorical_crossentropy
2016,./data/articles_zenodo.db,./data/glove.6B.50d.txt,25000,0.95,25,5,relu,2,True,10,relu,0.0,softmax,categorical_crossentropy
2017,./data/articles_zenodo.db,./data/glove.6B.50d.txt,25000,0.95,25,5,relu,2,True,10,relu,0.25,softmax,categorical_crossentropy
2018,./data/articles_zenodo.db,./data/glove.6B.50d.txt,25000,0.95,25,5,relu,2,True,10,relu,0.5,softmax,categorical_crossentropy
2019,./data/articles_zenodo.db,./data/glove.6B.50d.txt,25000,0.95,25,5,relu,2,True,10,relu,0.75,softmax,categorical_crossentropy
2020,./data/articles_zenodo.db,./data/glove.6B.50d.txt,25000,0.95,25,5,relu,2,True,50,relu,0.0,softmax,categorical_crossentropy
2021,./data/articles_zenodo.db,./data/glove.6B.50d.txt,25000,0.95,25,5,relu,2,True,50,relu,0.25,softmax,categorical_crossentropy
2022,./data/articles_zenodo.db,./data/glove.6B.50d.txt,25000,0.95,25,5,relu,2,True,50,relu,0.5,softmax,categorical_crossentropy
2023,./data/articles_zenodo.db,./data/glove.6B.50d.txt,25000,0.95,25,5,relu,2,True,50,relu,0.75,softmax,categorical_crossentropy
2024,./data/articles_zenodo.db,./data/glove.6B.50d.txt,25000,0.95,25,5,relu,5,True,10,relu,0.0,softmax,categorical_crossentropy
2025,./data/articles_zenodo.db,./data/glove.6B.50d.txt,25000,0.95,25,5,relu,5,True,10,relu,0.25,softmax,categorical_crossentropy
2026,./data/articles_zenodo.db,./data/glove.6B.50d.txt,25000,0.95,25,5,relu,5,True,10,relu,0.5,softmax,categorical_crossentropy
2027,./data/articles_zenodo.db,./data/glove.6B.50d.txt,25000,0.95,25,5,relu,5,True,10,relu,0.75,softmax,categorical_crossentropy
2028,./data/articles_zenodo.db,./data/glove.6B.50d.txt,25000,0.95,25,5,relu,5,True,50,relu,0.0,softmax,categorical_crossentropy
2029,./data/articles_zenodo.db,./data/glove.6B.50d.txt,25000,0.95,25,5,relu,5,True,50,relu,0.25,softmax,categorical_crossentropy
2030,./data/articles_zenodo.db,./data/glove.6B.50d.txt,25000,0.95,25,5,relu,5,True,50,relu,0.5,softmax,categorical_crossentropy
